Judul,Penulis,Pembimbing 1,Pembimbing 2,Abstrak
RANCANG BANGUN MANAJEMEN PEMBELAJARAN DAN TES TOEFL BERBASIS MOBILE,Penulis : Susanto,"Dosen Pembimbing I : Hermawan S.T.,M.Kom","Dosen Pembimbing II :Andharini Dwi Cahyani S.Kom.,M.Kom","Penggunaan teknologi mobile saat ini sangat marak, disamping keunggulannya dapat mudah bawa dibawa kemana-mana, teknologi mobile sekarang sangat mudah untuk dieksplorasi, terbukti dengan adanya smartphone yang mempunyai banyak layanan yang dapat bermanfaat bagi para penggunanya. Toefl (Test Of English As A Foreign Languange) sangat dibutuhkan dalam menghadapi kemajuan teknologi saat ini, Kurang besarnya minat masyarakat dalam belajar bahasa inggris dan mengikuti tes-tes Toefl yang ada, berpengaruh pada kemajuan teknologi.  Android  merupakan  subset  perangkat  lunak  untuk perangkat  mobile  yang  meliputi  sistem  operasi, middleware,  dan  aplikasi  inti  yang  di  release  oleh Google. Android SDK adalah  tools  API (Application Programming Interface)  yang digunakan untuk memulai membuat aplikasi pada platform Android dengan menggunakan bahasa pemrograman Java. Eclipse adalah sebuah IDE (Integrated Development Environment) yang digunakan dalam  coding  aplikasi Android nantinya. Salah satu pemanfaatan teknologi mobile yaitu dengan membuat media pembelajaran dan tes TOEFL baik soal berupa teks dan audio dengan menggunakan  teknologi Android, tentunya berbasis mobile. Dengan tes TOEFL, pembelajaran test dan kelebihan listening menu di dalam aplikasi ini, diharapkan akan dapat membatu meningkatkan pemahaman pengguna mengenai tes TOEFL.

Kata Kunci: tes TOEFL, ANDROID, Java , Mobile, SDK"
Aplikasi Penilaian Kinerja dengan Metodologi Customer Realtionship Management (CRM),Penulis : Luthfi Zahro,"Dosen Pembimbing I : Moch. Kautsar Sophan, S.Kom., M.MT","Dosen Pembimbing II :Dr. Rachmad Hidayat, ST., MT","Setiap perusahaan mengharapkan adanya hubungan baik dengan pelanggan, begitupun dengan PT. X sebagai perusahaan yang bergerak di bidang minyak dan gas bumi Negara. Pengelolaan hubungan yang baik akan berdampak pada peningkatan citra perusahaan dimata pelanggan. Penilaian kinerja perusahaan dapat diukur dengan menggunakan kriteria dari CRM Scorecard. CRM Scorecard diambil dari Balanced Scorecard (BSC) dengan berfokus pada pelanggan. Adanya penilaian kinerja dengan metode Analytic Network Process (ANP) untuk pembobotan, PT. X dapat  menilai kinerja perusahaan dengan ditunjukkan oleh Traffic Light System sebagai hasilnya. Hasil scoring KPI menunjukkan bahwa terdapat 2 KPI yang berada pada level buruk, yaitu Ekuitas Pelanggan dan Sistem Penghargaan. Kedua KPI ini diperlukan perhatian yang lebih. Indikator yang berada pada level cukup ada 3 KPI, yaitu yaitu Perluasan Pelanggan, Teknologi Informasi, dan Struktur Organisasi. Perusahaan harus berhati-hati dengan berbagai macam kemungkinan yang dapat terjadi. Indikator yang berada pada level baik ada 9 KPI, yaitu Profitabilitas, Kesetiaan Pelanggan, Kepuasan Pelanggan, Nilai Hubungan dengan Pelanggan, Perolehan Pelanggan, Mempertahankan Pelanggan, Peranan Manajemen, Pelatihan, dan Kerjasama.

Kata Kunci:  Sistem Penilaian Kinerja, CRM Scorecard,  Analytic Network Process (ANP), Key     Performance Indicator (KPI)"
Kalibrasi Kamera dengan Menggunakan Metode Tsai,Penulis : Bima Iffan Hakim,"Dosen Pembimbing I : Eza Rahmanita, ST., MT","Dosen Pembimbing II :Meidya Koeshardianto, S.Si., MT","Teknik kalibrasi sangat berpengaruh terhadap perkembangan computer vision karena setiap proses dalam teknik kalibrasi sangat diperlukan untuk pengolahan lanjutan berbagai macam proses vision. Dengan dilakukannya kalibrasi, proses vision akan menjadi lebih mudah. Dalam prosesnya teknik kalibrasi dilakukan untuk menentukan parameter yang dapat dilakukan untuk proses vision selanjutnya diantaranya rekonstruksi 3D. Penelitian ini mencoba mengangkat kembali teknik kalibrasi kamera klasik yang sangat popular, yaitu teknik kalibrasi kamera dengan menggunakan algoritma Tsai. Sebagai simulasi, hasil parameter yang akan didapat akan digunakan untuk melakukan pengukuran tinggi obyek dengan aplikasi dan kemudian dibandingkan dengan tinggi obyek secara real. Dari hasil ujicoba, didapatkan hasil bahwa tahapan proses kalibrasi kamera dengan metode Tsai berhasil dilakukan. Kemudian data parameter yang didapat, dilakukan simulasi dengan ujicoba sebanyak 5 skenario dengan masing-masing skenario dilakukan dengan 2 percobaan. Hasil yang didapat dari hasil pengukuran dengan aplikasi ternyata masih jauh dari hasil pengukuran secara nyata. Galat relative yang didapat dari perhitungan dengan aplikasi rata-rata hanya 50.6% dari perhitungan secara nyata. Hasil ini disebabkan karena proses pengambilan data awal dengan spesifikasi yang terbatas.

Kata kunci : kalibrasi kamera, algoritma tsai, computer vision"
PENERAPAN METODE ANALYTICAL HIERARCHY PROCESS DAN FUZZY MULTI-OBJECTIVE PROGRAMMINGUNTUK PEMILIHAN SUPPLIER,Penulis : Helyatin,"Dosen Pembimbing I : Bain Khusnul K, S.T.,M.Kom","Dosen Pembimbing II :Andharini Dwi C, S.Kom.,M.Kom","Pemilihan  supplier merupakan salah satu isu penting, karena  pemilihan supplier menjadi bagian dari sebuah  supply chain maka hubungan tersebut akan memiliki pengaruh yang sangat besar terhadap kelangsungan produksi.Pada tugas akhir ini dianalisa mengenai  Analytic Hierarchy Process (AHP) dan Fuzzy Multi-Objective Programming (FMOP) untuk pemilihan supplier di Industri Batik Podhek Pemekasan. Perhitungan AHP akan diperoleh nilai bobot tiap kriteria pemilihan supplier yang nantinya akan jadi nilai masukan pada FMOP. FMOP memberikan solusi memaksimalkan dan meminimalkan tujuan.Setelah dilakukan proses perhitungan faktor kriteria yang paling memberikan kontribusi terhadap pemilihan supplier adalah kriteria harga (0.52), kualitas (0.2) dan tingkat cacat (0.2), dan keterlambatan pengiriman (0.08). Dari hasil penelitian diperoleh bahwa supplier paling optimum adalah  Toko Utara. Untuk bahan baku kain dengan batasan pembelian 0 - 500 lembar didapatkan hasil z1 = 380, z2 = 415, z3 = 85, z4 = 250. Untuk bahan baku pewarna dan malan dengan batasan pembelian 0 - 250 kg didapatkan hasil z1 = 0, z2 = 220, z3 = 30, z4 = 125, dan z1 = 147.5, z2 = 225, z3 = 25, z4 = 125.

Kata kunci  :Supply Chain Management (SCM), pemilihan supplier, Analytical Hierarchy Process, Fuzzy, Multi-Objective Programming."
Model Penjualan Produk Unggulan Batik Khas Pamekasan Berbasis Electronic Commerce,Penulis : Murni Rotifah,"Dosen Pembimbing I :  Moch. Kautsar Sophan, S.Kom, M.MT","Dosen Pembimbing II :Bain Khusnul Khotimah, S.T., M.Kom","Kabupaten Pamekasan merupakan salah satu pusat industri dan perdagangan batik tulis yang dapat diandalkan sebagai salah satu sumber pendapatan daerah. Batik tulis Madura, khususnya batik tulis Pamekasan memiliki corak dan design yang khas. Penulis meneliti tentang pembuatan Model Penjualan Produk Unggulan Batik khas Pamekasan berbasis Electronic Commerce. Tujuan penelitian ini adalah Membangun model e-commerce yang interaktif untuk mendukung potensi perindustrian dan perdagangan kabupaten Pamekasan serta mempermudah transaksi penjualan produk unggulan batik tulis khas Pamekasan. Model e-commerce yang diterapkan adalah business to customer (B2C). Metodologi dalam mengerjakan penelitian ini adalah metode SDLC (Software Development Life Cycle), dengan menggunakan SDLC waterfall. Berdasarkan hasil analisis kuisioner yang dibagikan kepada pelanggan dan umum yaitu sebanyak 50 responden, yang mencakup beberapa pertanyaan mengenai fitur-fitur pada website. Simpulan yang dapat diambil yaitu pemodelan yang dibuat cukup baik untuk diimplementasikan menjadi website e-commerce. Hal ini dibuktikan dari hasil kuisoner menunjukkan rata-rata persentase responden yang menjawab setuju mencapai 53%. 

Kata kunci : Batik, E-Commerce, B2C, Model"
"APLIKASI DAN DESAIN MODEL DECISION AID PELANGGAN
PADA E-COMMERCE TOKO BATIK TULIS MADURA",Penulis : Ardiyanto Setiawan,"Dosen Pembimbing I : Moch. Kautsar Sophan, S.Kom., M.MT.","Dosen Pembimbing II :Yeni Kustiyah Ningsih, S.Kom., M.Kom.","Toko Batik Tulis Madura merupakan salah satu toko yang telah beroperasi sejak tahun 2011 dengan
menggunakan website e-commerce. Walau telah menggunakan model e-commerce, website tersebut memiliki
kekurangan yaitu belum ada fitur rekomndasi untuk memudahkan konsumen mencari barang yang ingin
dibelinya. Penelitian ini bertujuan membuat rekomendasi dengan decision aid untuk membantu pelanggan
dalam memilih produk di website Toko Batik Tulis Madura. Teknik pengumpulan analis data terdiri dari
Studi Literatur yang berhubungan dengan decision aid dan multi criteria, Observasi dilakukan terhadap
website Toko Batik Tulis Madura dan Interview dilakukan kepada pemilik website Toko Batik Tulis Madura.
Pembuatan implementasi pada Penelitian ini menggunakan model waterfall. Jenis decision aid yang akan
diimplementasikan adalah Multi Criteria Filtering. Metode pembobotan yang digunakan pada Multi Criteria
Filtering yaitu Decision Matrix. Hasil ujicoba dengan jumlah sample percobaan sebanyak 50 kali data
perconbaan pencarian, presentase akurasi adalah 94% dan error adalah 6%. Hasil uji kelayakan dari beberapa
kuisoner dihasilkan bahwa performa yang dimiliki tool ini cukup baik dan tool ini layak untuk diintegrasikan
serta digunakan dalam website e-commerce.

Kata Kunci: Decision, Aid, Multi, Criteria, Filtering"
Segmentasi Parasit Malaria Dalam Sel Darah Menggunakan Operasi Morfologi Dan Transformasi Watershed,Penulis : Yenni Rahmawati,"Dosen Pembimbing I : Rima Tri Wahyuningrum, S.T.,M.T.","Dosen Pembimbing II :Fitri Damayanti, S.Kom., M.Kom","Malaria disebabkan oleh intraseluler parasit bersel tunggal yang dimiliki genus Plasmodium yang menginfeksi manusia dengan memasuki aliran darah. Dampak malaria secara geografis memiliki tingkat  transmisi tertinggi di daerah tropis dan subtropics, yaitu di negara-negara yang memiliki tingkat pertumbuhan penduduk yang besar (termasuk Indonesia). Pendeteksian parasit malaria dapat dilakukan mencari titik kromatin. Bila tidak ada titik kromatin pada sel darah merah  maka sel darah merah tersebut di anggap sebagai sel darah merah sehat. Pendeteksian titik kromatin secara manual akan memerlukan waktu yang lama. Proses segmentasi diharapkan sebagai langkah pertama untuk memudahkan pendeteksian titik kromatin karena segmentasi merupakan  salah  satu  faktor yang sangat penting dalam analisis suatu gambar. Penelitian ini melakukan segmentasi sel darah merah dengan menggunakan operasi Morfologi, deteksi tepi Canny, dan transformasi Watershed. Data yang digunakan sebanyak 15 data citra dan setiap citra akan diuji dengan empat macam operasi Morfologi kemudian citra hasil Morfologi akan diuji sebanyak 16 kali percobaan dengan parameter masking, sigma, high threshold (HT), dan low threshold (LT) dari deteksi tepi Canny. Hasil pengujian kemudian disegmentasi dengan menggunakan transformasi Watershed. Perhitungan tingkat akurasi dilakukan dengan membandingkan koordinat tiap piksel citra hasil segmentasi dengan citra ground truth  dan menghasilkan nilai rata-rata akurasi sebesar 39.3 %."
"ANALISA DATA ANTARAN POS EXPRESS MENGGUNAKAN
METODE RADIAL BASIS FUNCTION NEURAL NETWORK (RBF-NN)
STUDY PT. POS INDONESIA SURABAYA",Penulis : siti murtasiyah warda,"Dosen Pembimbing I : Bain Khusnul Khotimah.,S.T.,M.Kom","Dosen Pembimbing II :Firli Irhamni, S.T., M.Kom.","PT. Pos Indonesia (Persero) merupakan salah satu perusahaan yang bergerak di bidang komunikasi. Saat ini,
salah produk pelayanan PT. Pos Indonesia (Persero) adalah produk Pos Express.  Produk  Pos  Express ini
diharapkan dapat diminati masyarakat dan dapat tetap bertahan bahkan  semakin menunjukkan keunggulan PT.
Pos Indonesia (Persero). Untuk  itu perlu dilakukan  analisis untuk melihat pola perkembangan, kemajuan  yang
telah ditunjukkan, bahkan untuk melihat dan memperoleh informasi, berupa peramalan  dalam waktu ke depan
terhadap produk Pos Express yang masuk  ke kantor Mail  Processing Center  (MPC) Surabaya. Dalam  hal  ini
analisis yang dilakukan adalah peramalan jumlah produk Pos Express dengan menggunakan Metode RBF-NN
(Radial Basic function neural  network).  Hasil  analisa  pada  ujicoba  yang  dilakukan  menghasilkan  nilai  yang
cukup optimal, salah satunya pada percobaan 2 inputan dengan hasil peramalan pada epoch ke-60  yang
memperoleh hasil MSE : 0.124497 dan MAPE : 15.058923 dengan hasil ramal yang berjumlah 2587.9966.
Kata kunci: Peramalan , Jaringan Syaraf Tiruan (JST), Radial Basis Function neural network (RBF-NN)."
Deteksi Manusia Menggunakan Histogram of Oriented Gradients dan NaÃ¯ve Bayes Classifier,Penulis : R.A. Uluwiyah Nur Oktavianis,"Dosen Pembimbing I : Dr. Indah Agustien, S.Kom., M.Kom","Dosen Pembimbing II :Ari Kusumaningsih, S.T, M.T","Deteksi manusia merupakan  suatu aplikasi yang berfungsi untuk mendeteksi objek manusia dalam sebuah citra. Beberapa keuntungan yang dapat diambil dari kajian ini, yaitu penerapan pada video pengawasan. Namun, dalam video pengawasan manusia yang dideteksi dalam keadaan bergerak. Sedangkan aplikasi ini, hanya mendeteksi atau menemukan objek manusia dari background sebuah citra. Sehingga dalam proses pembuatan aplikasi ini diperlukan perhitungan â perhitungan khusus untuk mendapatkan hasil yang baik. Penelitian ini menggunakan dua tahap yaitu proses ekstraksi fitur dan klasifikasi. Proses ekstraksi fitur menggunakan metode Histogram Of Oriented Gradients (HOG). Pada prinsipnya HOG menggunakan histogram untuk memperoleh ekstraksi fitur tersebut, dengan  beberapa langkah diantarnya yaitu konversi citra, gradient compute dan normalisasi. Sedangkan pada metode Naive Bayes Classifier ini di gunakan untuk proses pengklasifikasian atau pencocokan citra. Sehingga pada hasil akhir dapat diketahui kelas citra yang telah diuji. Berdasarkan uji coba aplikasi menggunakan perhitungan distribusi gaussian probabilitas pada naive bayes classfier dengan nilai threshold = 12,13,14 dan 15 pada skenario 1, 2 dan 3 diperoleh rata â rata akurasi sebesar 68,65%.

Kata kunci : Histogram Of Oriented Gradient, Naive Bayes Classifier"
KLASIFIKASI STATUS GIZI BALITA MENGGUNAKAN KOHONEN SELF ORGANIZING MAP,Penulis : Uhty Zunairoh,"Dosen Pembimbing I : Bain Khusnul Khotimah, S.T., M.Kom.","Dosen Pembimbing II :Aeri Rachmad, S.T., M.T.","Aplikasi klasifikasi status gizi balita ini dibuat untuk mempermudah dilakukannya kontrol terhadap perkembangan status gizi balita terutama di tempat penelitian ini dilakukan yaitu Kecamatan Arosbaya, tepatnya di Puskesmas Arosbaya. Aplikasi ini juga dapat digunakan sebagai media informasi karena dapat diisi dengan informasi yang berkaitan dengan Puskesmas Arosbaya sendiri. Untuk menentukan status gizi balita di aplikasi ini, digunakan metode Kohonen Self Organizing Map, dengan mengambil data dari Puskesmas Arosbaya. Parameter yang digunakan ada empat, yaitu: usia, jenis kelamin, tinggi badan, dan berat badan. Karena metode K-SOM hanya dapat digunakan untuk menentukan cluster maka dibuatlah sebuah rule untuk menentukan klasifikasi data pada kelas tertentu.Umumnya untuk mengetahui status gizi balita hanya menggunakan tiga parameter, namun pada penelitian ini akan menggunakan empat parameter. Hasil klasifikasi akan dibagi menjadi 3 kelas, yaitu: kelas 1 (status gizi kurang), kelas 2 (status gizi normal), dan kelas 3 (status gizi normal). Hasil penelitian menunjukkan bahwa sebanyak 88,17% (82 balita) balita berstatus gizi kurang, 8,6% (delapan balita) balita berstatus gizi normal, dan 3,23% (tiga balita) balita berstatus gizi lebih dengan nilai learning rate dan MSE akhir masing-masing 0,09436 dan 0,000792353. Sedangkan nilai akurasi, sencitivity, dan specificity masing adalah 100%.

Kata Kunci: Kohonen Self Organizing Map, status gizi balita, Puskesmas Arosbaya"
"PERANCANGAN SISTEM INFORMASI PERENCANAAN PRODUKSI DAN PERSEDIAAN BAHAN BAKU TINTA MENGGUNAKAN METODE EOQ 
(ECONOMIC ORDER QUANTITY)
(Studi Kasus Di PT Inktech Indahmulya)",Penulis : M. Arif Rahman,"Dosen Pembimbing I : Yeni Kustiyahningsih, S.Kom., M.Kom.","Dosen Pembimbing II :Heri Awalul Ilhamsyah, ST., MT.","Penelitian ini membahas tentang perancangan sistem informasi perencanaan produksi dan persediaan bahan baku tinta menggunakan metode EOQ (Economic Order Quantity) di PT. Inktech Indahmulya. Selama ini dalam menjalankan rencana produksi yang ada masih menggunakan perencanaan produksi secara sederhana dan didasarkan pengalaman produksi periode-periode sebelumnya, sehingga perusahaan belum mengetahui apakah rencana produksi yang diterapkan sudah optimal. Untuk dapat menentukan jumlah persediaan barang secara tepat, diperlukan pengetahuan untuk mengetahui berapa jumlah barang yang dibutuhkan tiap periode dengan melakukan peramalan. Metode peramalan yang digunakan adalah metode single exponential smoothing dan metode single moving average, metode ini digunakan untuk melakukan peramalan kebutuhan bahan baku pada periode selanjutnya. Hasil penelitian ini mengkonfirmasikan  untuk menentukan jumlah tinta PMG yang harus diproduksi konsisten menggunakan metode peramalan single exponential smoothing dengan nilai MSE berada pada 0,1. Nilai tersebut digunakan untuk menentukan jumlah material produksi yang dibutuhkan dengan menggunakan metode Economic Order Quantity (EOQ). Dari hasil uji coba sistem ini didapatkan hasil biaya persediaan terendah dan jumlah kebutuhan bahan baku yang  diperlukan untuk periode selanjutnya."
ANALISIS PERAMALAN PENJUALAN PRODUK ASESORIS KOMPUTER MENGGUNAKAN METODE EXPONENTIAL SMOOTHING (ES) DAN ORDINARY LEAST SQUARE (OLS),Penulis : Moh. Hasbi Ash Shiddieqy,"Dosen Pembimbing I : Mulaâab, S.Si., M.Kom.","Dosen Pembimbing II :Yeni Kustiyahningsih, S.Kom., M.Kom.","Dengan prediksi yang baik, dapat dibuat rencana kerja perusahaan lebih efektif dan efisien. Semakin banyak orang menggunakan Komputer  maka jumlah permintaan konsumen pada Asesoris komputer secara otomatis penjualannya juga akan meningkat. Oleh karena itu dibutuhkan sistem yang dapat memprediksi jumlah penjualan tiap minggunya agar perusahaan mendapatkan keuntungan yang maksimal. Untuk meramalkan pejualan Asesoris komputer Digunakanlah metode peramalan Single Exponential Smoothing (SES) dan metode Oldinary Least Square (OLS). Hasil peramalan tersebut akan dihitung  dan dibandingkan menggunakan Mean Square Error (MSE) untuk mendapatkan hasil error yang terkecil dan peramalan terbaik. Dari beberapa hasil tes perhitungan peramalan yang telah dilakukan dapat diambil kesimpulan bahwa proses peramalan penjualan asesoris komputer menggunakan metode Single Exponential Smoothing (SES) dan Oldinary Least Square (OLS) cukup baik diterapkan untuk studi kasus di SKY DISK Surabaya. Dengan mendapatkan rata-rata MSE sebesar 5257.5 dan rata-rata MAPE sebesar 0.9463%."
SISTEM INFORMASI GEOGRAFIS PEMETAAN WILAYAH BERDASARKAN TINGKAT KESEJAHTERAAN DI KABUPATEN BANGKALAN MENGGUNAKAN METODE FUZZY MAMDANI,Penulis : Hendriatno,"Dosen Pembimbing I : Bain Khusnul Khotimah.,S.T.,M.Kom","Dosen Pembimbing II :Firli Irhamni, S.T., M.Kom.","Menurut pemetaan yang dilakukan oleh Tim Nasional Percepatan Penanggulangan Kemiskinan (TNP2K) pada tahun 2011, kabupaten-kabupaten di pulau Madura memiliki masalah kemiskinan dan merupakan wilayah dengan prioritas 1 dan 2 dalam penanganan kerentanan pangan. Oleh karena itu penulis membuat sistem informasi geografis pemetaan wilayah berdasarkan tingkat kesejahteraan menggunakan metode Fuzzy Mamdani. Metode ini mengatasi keterlibatan objek yang memiliki ketidakpastian di dalam Sistem informasi geografis. Tahapan proses perhitungannya adalah: pembentukan himpunan fuzzy, aturan fungsi implikasi, komposisi aturan dan defuzzyfikasi (nilai z), yang kemudian akan diimplementasikan kedalam pemetaan, sehingga informasi dapat diperolah dengan cepat dan efisien. Dari uji coba yang dilakukan sistem Kec. Tragah dan Kec. Galis, tingkat kesejahteraannya kurang (pemetaan berwarna merah), dengan nilai âKesejahteraan (Z)â (Z = 0,0). Sedangkan untuk Kec. Kamal (Z = 62,2), Kec. Tanah Merah (Z = 57,1), Kec. Modung (Z = 61,50), Kec. Arosbaya (Z = 61,4), Kec. Sepuluh (Z = 56,7), Kec. Klampis (Z = 65,00), Kec. Konang (Z = 63,7), Kec. Geger (Z = 55,7), Kec. Labang (Z = 56,6), Kec. Blega (Z = 55,9), Kec. Kwanyar (Z = 60,4), Kec. Burneh (Z = 56,10), Kec. Socah (Z = 60,8), Kec. Tanjung Bumi (Z = 57,7)dan Kec. Kokop (Z = 57,4) tingkat kesejahteraannya sedang (pemetaan berwarna kuning), Kec. Bangkalan (Z = 68,5) tingkat kesejahteraanya tinggi (pemetaan berwarna hijau).

Kata Kunci: Sistem Informasi Geografis, Fuzzy Mamdani, Tingkat Kesejahteraan"
PENERAPAN METODE RADIAL BASIS FUNCTION NETWORK DENGAN K-MEANS CLUSTER UNTUK PERAMALAN KEBUTUHAN STRAW,Penulis : Dwi Nuzulul Heriyanto,"Dosen Pembimbing I : Fika Hastarita Rachman, S.T, M.Eng","Dosen Pembimbing II :Budi Dwi Satoto, ST, M.Kom","Berawal dari permintaan akan Straw (sperma beku) sapi yang tinggi untuk menghasilkan bibit unggul. Bidang Peternakan Dinas Kelautan, Perikanan dan Peternakan (DKPP) Sampang masih belum dapat menentukan berapa banyaknya Straw yang dibutuhkan pada saat permintaan itu datang. Sering terjadi stok Straw yang tersedia kurang memenuhi permintaan para peternak sapi, atau malah sebaliknya persediaan Straw yang ada masih banyak. Data yang digunakan adalah data penggunaan Straw di Kabupaten Sampang bulan Januari 2008 sampai Desember 2011. Peramalan kebutuhan Straw merupakan proses untuk memperkirakan jumlah kebutuhan Straw di masa datang. Metode peramalan yang digunakan dalam sistem ini adalah metode Radial Basis Function Network (RBFN) dengan penentuan hidden node menggunakan K-Means Cluster. Metode K-Means digunakan karena ketepatan penentuan nilai centroid yang akurat, mudah dan penentuannya awalnya secara random. Sedangkan dalam penentuan nilai error menggunakan MAPE (Mean Absolute Percentage Error) dan MSE (Mean Square Error). Dalam uji coba sistem diketahui bahwa sistem mampu memprediksi kebutuhan Straw satu bulan kedepan. Dari evaluasi kinerja sistem diketahui bahwa nilai MAPE dan MSE terkecil diperoleh pada jumlah cluster=3 yang mempunyai Nilai MAPE 10.12%  dan MSE 0.0081."
AUTO LEVELING BERBASIS FINITE STATE MACHINE (FSM) PADA GAME PEMBELAJARAN BAHASA INGGRIS,Penulis : Syafrial Nur Maulana,"Dosen Pembimbing I : Arik Kurniawati, S.Kom.,M.T.","Dosen Pembimbing II :Ari Kusumaningsih, S.T., M.T.","Pengetahuan tentang bahasa Inggris pada jaman globalisasi saat ini sangatlah penting dan menjadi salah satu sarana untuk berkompetisi di segala bidang. Namun demikian, seringkali proses pembelajaran tidak dapat berjalan dengan lancar dikarenakan kurangnya metode pembelajaran yang kurang interaktif. Berangkat dari permasalahan tersebut maka dibangunlah sebuah game yang berunsur edukasi. Game berunsur edukasi harusnya menyenangkan dan tidak terlalu mudah atau terlalu sulit dimainkan  salah satunya dengan penerapan Artifical Intelegent (kecerdasan buatan). Dalam penelitian ini adalah bagaimana pemain mendapatkan tantangan (soal) sesuai dengan kemampuannya (pelevelan mandiri/auto leveling). Sehingga pemain tidak merasa frustasi (jika soalnya terlalu sulit) atau bosan (jika soalnya terlalu mudah). Metode yang dapat digunakan untuk membuat game yang mempunyai pelevelan mandiri adalah metode Finite State Machine (FSM) dan seluruhnya akan diimplementasikan kedalam game engine XNA. Dalam game pembelajaran bahasa Inggris ini terdapat speaking dan reading yang akan memanfaatkan teknologi speech recognition yang terdapat didalam XNA game studio. Dengan melakukan uji coba sistem kepada responden menghasilkan beberapa hal menjadikan game sebagai salah satu media pembelajaran, terciptanya game yang menarik dan menjadi game yang adaptif dengan penerapan perlevelan mandiri. Penggunaan speech recognition dapat meningkatkan kemampuan berbicara dalam bahasa Inggris. 

Kata Kunci : Education Game, Automatic Leveling, FSM (Finite State Machine), XNA game engine, Speech Recognition."
RANCANG BANGUN SISTEM INFORMASI PEMETAAN TANAMAN PERTANIAN DI KABUPATEN BANGKALAN,Penulis : RIDHA MARISTA,"Dosen Pembimbing I : HUSNI,S.Kom., M.T.","Dosen Pembimbing II :DIANA RAHMAWATI, S.T., M.T.","Kabupaten Bangkalan memiliki lahan pertanian seluas kurang lebih 98.683,38 Ha atau sekitar 79,03 % dari luas kabupaten Bangkalan seluruhnya. Lahan tersebut terdiri atas sawah teknis seluas 1.956,49 Ha tegal seluas 71.751,98 Ha, lahan kering mencapai 77.999,63 Ha yang tersebar di setiap kecamatan dengan topografi datar hingga berbukit. Namun demikian pembangunan pertanian mengalami hambatan karena selain kesuburan tanah rendah sebagian besar pembangunan pertanian masih tradisional  tanpa memerhatikan aspek kesesuaian lahan dan tanaman. Dalam tugas akhir ini dikembangkan sistem informasi pemetaan tanaman pertanian di kabupaten Bangkalan berbasis lahan. Penentuan jenis tanaman pada sistem berpedoman  pada hasil analisa kriteria kesesuaian jenis lahan dan jenis  tanaman dengan menggunakan metode matching dari Dinas Pertanian dan Peternakan Balai Penyuluhan Pertanian (BPP)  kabupaten Bangkalan. Data yang diperoleh diolah menjadi data spasial atau peta lokasi tanaman dengan memanfaatkan Google Maps sebagai aplikasi pemetaannya. Aplikasi Google Maps dipilih karena lebih memudahkan dalam mengetahui dan menentukan lokasi secara lebih detail. Penerapan aplikasi sistem informasi ini dapat membantu  pengguna khususnya petani dalam perencanaan dan pemilihan jenis tanaman yang sesuai untuk dikembangkan pada setiap kecamatan sehingga dapat meningkatkan produktivitas, kuantitas dan kualitas pertanian di kabupaten Bangkalan. 
	
Kata kunci: 	Kabupaten Bangkalan, Sistem Informasi, Google Maps, Lahan dan Tanaman."
Pengenalan Tulisan Tangan Carakan Jawa Secara Real Time  Dengan Menggunakan Dominant Point,Penulis : Nining Latifah,"Dosen Pembimbing I : Fitri Damayanti, S.Kom., M.Kom","Dosen Pembimbing II :Rima Tri Wahyuningrum, ST, MT","Pengenalan tulisan tangan adalah salah satu cabang dari pengenalan pola. Carakan merupakan tulisan yang cukup kompleks dan memiliki karakteristik yang lebih unik dibandingkan dengan tulisan latin, apalagi bila ditulis dengan tulisan tangan. Faktor yang menyebabkan proses pengenalan tulisan carakan sulit untuk dilakukan adalah variasi bentuk tulisan carakan dan memiliki kemiripan antar huruf. Hal ini memungkinkan adanya kesalahan dalam proses klasifikasi. Pada penelitian ini dibangun sistem pengenalan tulisan tangan secara real time dimana proses ekstraksi ciri menggunakan metode Dominant Point untuk mendapatkan ciri pada setiap karakter masukan. Metode ini pada dasarnya sistem akan membaca arah goresan pena yang didasarkan pada kumpulan titik. Pada proses klasifikasi serta pengenalan karakter menggunakan Fine Classification. Pada proses ini, pengenalan dilakukan dengan tiga tahap yaitu penilaian prakandidat, menyeleksi kandidat, lalu pencocokan karakter. Proses ini yang membuat sistem dengan cepat melakukan proses pengenalan. Dari uji coba yang dilakukan pada sistem, hasil terbaik untuk pengenalan citra huruf tulisan tangan carakan diperoleh dari data pelatihan sebanyak 600 citra pada data uji coba skenario ke 3 dengan akurasi sebesar 90%. Sedangkan hasil terendah diperoleh dari data pelatihan sebanyak 200 citra pada data uji coba skenario ke 1 dengan akurasi sebesar 40%. Hasil akurasi rata-rata dari sembilan skenario adalah sebesar 67,67%.

Kata kunci: Handwriting Recognition, Carakan, Dominant Point,  Fine Classification."
